student_id,name,age,gender,graduation_year,degree,major,gpa,internship_experience,skills,location,employed_after_grad,time_to_employment,predicted_job_title,actual_job_title,industry,skills_used,company_type,salary_range
BSU06253,Student 6253,22,Male,2022,Bachelor of Arts,Political Science,1.65,Yes,"Research, Policy Analysis",Tanauan,Yes,1.0,Political Science Specialist,Political Science Specialist,Manufacturing,"Research, Policy Analysis",Public,31k-40k
BSU04685,Student 4685,21,Female,2023,Bachelor of Elementary Education,General Education,1.52,No,General Skills,Tanauan,No,,Unemployed,,,,,
BSU01732,Student 1732,21,Female,2023,Bachelor of Secondary Education,Social Studies,1.92,Yes,"History, Geography",Lemery,No,,Unemployed,,,,,
BSU04743,Student 4743,26,Male,2024,Bachelor of Industrial Technology,Electrical Technology,1.57,Yes,"Circuit Design, Wiring",Nasugbu,No,,Unemployed,,,,,
BSU04522,Student 4522,23,Male,2023,Bachelor of Industrial Technology,Electronics Technology,1.24,No,"Microcontrollers, Soldering",Lipa,Yes,3.0,Electronics Technology Specialist,Electronics Technology Specialist,Law Enforcement,"Microcontrollers, Soldering",Public,15k-20k
BSU06341,Student 6341,23,Male,2024,Bachelor of Science in Criminology,Criminology,1.43,No,"Law Enforcement, Crime Scene Investigation",Lemery,Yes,1.0,Criminology Specialist,Criminology Specialist,IT,"Law Enforcement, Crime Scene Investigation",Public,15k-20k
BSU00577,Student 577,23,Male,2022,Bachelor of Science in Criminology,Criminology,1.68,No,"Crime Scene Investigation, Law Enforcement",Nasugbu,No,,Unemployed,,,,,
BSU05203,Student 5203,21,Male,2021,Bachelor of Elementary Education,General Education,1.1,No,General Skills,Lemery,No,,Unemployed,,,,,
BSU06364,Student 6364,25,Female,2020,Bachelor of Elementary Education,General Education,1.14,No,General Skills,Lemery,Yes,3.0,General Education Specialist,General Education Specialist,IT,General Skills,Non-Profit,31k-40k
BSU00440,Student 440,20,Male,2022,Bachelor of Industrial Technology,Electronics Technology,1.06,No,"Soldering, Microcontrollers",Lemery,Yes,3.0,Electronics Technology Specialist,Electronics Technology Specialist,Education,"Soldering, Microcontrollers",Public,15k-20k
BSU02751,Student 2751,23,Male,2024,Bachelor of Science,Physics,1.13,Yes,"Quantum Mechanics, Simulation",Batangas City,No,,Unemployed,,,,,
BSU07488,Student 7488,20,Male,2020,Bachelor of Industrial Technology,Electronics Technology,1.63,No,"Soldering, Microcontrollers",Lipa,No,,Unemployed,,,,,
BSU05273,Student 5273,20,Female,2020,Bachelor of Industrial Technology,Automotive Technology,1.1,No,"Engine Repair, Diagnostics",Batangas City,No,,Unemployed,,,,,
BSU05654,Student 5654,25,Female,2023,Bachelor of Science in Agriculture,Animal Science,1.56,Yes,"Animal Care, Feeding Management",Batangas City,Yes,1.0,Animal Science Specialist,Animal Science Specialist,Agriculture,"Animal Care, Feeding Management",Private,21k-30k
BSU04000,Student 4000,21,Female,2023,Bachelor of Science,Information Technology,1.74,Yes,"SQL, HTML",Lemery,Yes,3.0,Information Technology Specialist,Information Technology Specialist,Manufacturing,"SQL, HTML",Non-Profit,15k-20k
BSU06034,Student 6034,23,Male,2020,Bachelor of Arts,Political Science,1.69,Yes,"Public Speaking, Policy Analysis",Lemery,Yes,1.0,Political Science Specialist,Political Science Specialist,Agriculture,"Public Speaking, Policy Analysis",Non-Profit,15k-20k
BSU00583,Student 583,25,Male,2023,Bachelor of Public Administration,Public Administration,1.15,No,"Budgeting, Governance",Nasugbu,No,,Unemployed,,,,,
BSU09931,Student 9931,24,Female,2024,Bachelor of Industrial Technology,Electronics Technology,1.15,No,"Soldering, Microcontrollers",Tanauan,Yes,1.0,Electronics Technology Specialist,Electronics Technology Specialist,Media,"Soldering, Microcontrollers",Public,31k-40k
BSU07052,Student 7052,25,Male,2024,Bachelor of Elementary Education,General Education,1.83,No,General Skills,Lemery,No,,Unemployed,,,,,
BSU08159,Student 8159,21,Female,2022,Bachelor of Public Administration,Public Administration,1.23,Yes,"Governance, Budgeting",Batangas City,Yes,3.0,Public Administration Specialist,Public Administration Specialist,Education,"Governance, Budgeting",Non-Profit,15k-20k
BSU09897,Student 9897,23,Female,2022,Bachelor of Arts,Filipino,1.65,No,"Translation, Writing",Nasugbu,No,,Unemployed,,,,,
BSU02250,Student 2250,22,Female,2024,Bachelor of Science in Nursing,Nursing,1.2,Yes,"Vitals Monitoring, First Aid",Lemery,Yes,3.0,Nursing Specialist,Nursing Specialist,IT,"Vitals Monitoring, First Aid",Private,41k-50k
BSU04641,Student 4641,24,Male,2022,Bachelor of Public Administration,Public Administration,1.02,Yes,"Budgeting, Governance",Lemery,Yes,1.0,Public Administration Specialist,Public Administration Specialist,Government,"Budgeting, Governance",Non-Profit,41k-50k
BSU09486,Student 9486,22,Female,2020,Bachelor of Industrial Technology,Electrical Technology,1.73,Yes,"Wiring, Circuit Design",Tanauan,No,,Unemployed,,,,,
BSU04948,Student 4948,23,Female,2021,Bachelor of Secondary Education,Mathematics,1.37,Yes,"Mathematica, Statistics",Nasugbu,No,,Unemployed,,,,,
BSU09921,Student 9921,26,Male,2020,Bachelor of Science in Criminology,Criminology,1.41,Yes,"Law Enforcement, Crime Scene Investigation",Lipa,Yes,3.0,Criminology Specialist,Criminology Specialist,Manufacturing,"Law Enforcement, Crime Scene Investigation",Private,15k-20k
BSU01964,Student 1964,23,Female,2020,Bachelor of Public Administration,Public Administration,1.7,Yes,"Budgeting, Governance",Lipa,No,,Unemployed,,,,,
BSU08244,Student 8244,20,Female,2024,Bachelor of Science in Agriculture,Agronomy,1.47,Yes,"Crop Management, Soil Analysis",Lemery,No,,Unemployed,,,,,
BSU06591,Student 6591,22,Male,2023,Bachelor of Public Administration,Public Administration,1.64,Yes,"Governance, Budgeting",Lemery,Yes,2.0,Public Administration Specialist,Public Administration Specialist,Media,"Governance, Budgeting",Private,15k-20k
BSU08848,Student 8848,20,Male,2023,Bachelor of Science in Criminology,Criminology,1.57,Yes,"Law Enforcement, Crime Scene Investigation",Lemery,Yes,1.0,Criminology Specialist,Criminology Specialist,IT,"Law Enforcement, Crime Scene Investigation",Private,15k-20k
BSU00322,Student 322,24,Female,2020,Bachelor of Secondary Education,Mathematics,1.68,Yes,"Mathematica, Statistics",Lemery,No,,Unemployed,,,,,
