student_id,name,age,gender,graduation_year,degree,major,gpa,internship_experience,skills,location,employed_after_grad,time_to_employment,predicted_job_title,actual_job_title,industry,skills_used,company_type,salary_range
S09761,Jason Johnson,20,Female,2019,BSE,Social Work,2.01,Yes,"each, short, practice, meeting, sometimes, far, building",Batangas City,True,4.0,Nurse,Nurse,Healthcare,"each, short, practice",Private,15k-25k
S03159,Darlene Mercado,22,Female,2021,BSE,Social Work,2.05,Yes,"me, sort, almost, close, very, everyone, Mr",Lipa,True,6.0,Medical Assistant,Medical Assistant,Healthcare,"me, sort, almost",Startup,>60k
S01489,Amber Mitchell,26,Female,2023,BSE,Social Work,3.77,Yes,"bit, write, order, fact, big",Calaca,True,5.0,Freelance Artist,Freelance Artist,Art,"bit, write",Private,<15k
S02987,Randy Johnson,25,Male,2019,BA,Communication,2.46,No,"it, move, door, their, forget, clearly, most",Nasugbu,False,,,,,,,
S00812,John Cherry,22,Male,2020,BSE,Social Work,3.55,Yes,"say, air, really, measure",Tanauan,False,,,,,,,
S01882,Damon Coleman,24,Female,2021,BS,Computer Science,2.05,Yes,"move, main, cover",Batangas City,True,6.0,Gallery Assistant,Gallery Assistant,Art,move,Government,<15k
S09267,Donna Bennett,30,Male,2024,BA,Political Science,2.39,No,"with, perform, particularly, boy, chance, most, seat",Nasugbu,True,5.0,Medical Assistant,Medical Assistant,Healthcare,"with, perform, particularly",Government,40k-60k
S04936,Bruce Heath,21,Male,2023,BFA,Fine Arts,2.25,Yes,"argue, film, such, standard, product, both",Calaca,False,,,,,,,
S09935,Elizabeth Banks,28,Female,2023,BA,Political Science,2.32,Yes,"middle, it, central, single",Calaca,True,6.0,News Reporter,News Reporter,Media,"middle, it",Startup,<15k
S01940,Laura Santana,26,Male,2024,BS,Education,3.0,No,"suggest, unit, visit, clear, smile, dark",Calaca,False,,,,,,,
S03296,James Hill,22,Female,2024,BSE,Social Work,2.88,No,"none, chance, else, ever, street",Batangas City,True,5.0,News Reporter,News Reporter,Media,"none, chance, else",Government,<15k
S03534,Gary Bailey,20,Female,2020,BSE,Social Work,3.76,Yes,"build, picture, military, perform, argue, sound, police",Lipa,False,,,,,,,
S04525,Timothy Butler,29,Female,2023,BA,Political Science,2.98,No,"certain, specific, old, class",Calaca,False,,,,,,,
S03729,Lisa Graham,27,Female,2022,BSE,Social Work,2.45,No,"whole, serve, office, heart, lose",Tanauan,True,3.0,Project Coordinator,Project Coordinator,Construction,"whole, serve",Government,40k-60k
S07015,Taylor Norris,22,Female,2022,BS,Education,3.93,No,"service, hundred, see, box, whether, community",Nasugbu,True,2.0,Medical Assistant,Medical Assistant,Healthcare,"service, hundred",Startup,40k-60k
S01612,Nathaniel Todd,25,Female,2021,BSE,Social Work,2.99,Yes,"sure, down, similar, north, dinner",Tanauan,False,,,,,,,
S01181,Kathleen Gonzalez,25,Male,2020,BSE,Social Work,3.91,No,"few, know, professional, hand, program, indicate, relate",Tanauan,True,6.0,Teacher,Teacher,Education,few,NGO,<15k
